Domain Code,Domain,Country Code (FAO),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1979","1979","LCU","0.01","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1980","1980","LCU","0.01","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1981","1981","LCU","0.04","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1982","1982","LCU","0.07","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1983","1983","LCU","0.16","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1984","1984","LCU","0.34","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1985","1985","LCU","1.09","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1986","1986","LCU","3.18","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1987","1987","LCU","7.2","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1988","1988","LCU","72","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1989","1989","LCU","720","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","515","Apples","1990","1990","LCU","21200","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1980","1980","LCU","0.01","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1981","1981","LCU","0.03","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1982","1982","LCU","0.05","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1983","1983","LCU","0.13","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1984","1984","LCU","0.38","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1985","1985","LCU","1.2","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1986","1986","LCU","3.51","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1987","1987","LCU","7.7","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1988","1988","LCU","77","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1989","1989","LCU","770","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","572","Avocados","1990","1990","LCU","15000","F","FAO estimate"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1981","1981","LCU","0.01","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1982","1982","LCU","0.02","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1983","1983","LCU","0.04","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1984","1984","LCU","0.13","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1985","1985","LCU","0.38","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1986","1986","LCU","1.23","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1987","1987","LCU","3.2","","Official data"
"PA","Producer Prices (old series)","21","Brazil","5530","Producer Price (LCU/tonne)","486","Bananas","1988","1988","LCU","21.26","","Official data"
