INPUT_TABLE
Variable ID
LN3_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Jatropha,1975,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Jatropha,1990,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Jatropha,2005,0
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Jatropha,2010,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1975,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1990,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2005,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2010,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1975,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1990,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2005,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2010,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1975,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1990,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2005,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2010,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Argentina,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1975,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,1990,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2005,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,eucalyptus,2010,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Brazil,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Canada,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Canada,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Canada,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Canada,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1990,0
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2005,0
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,2010,0
Central Asia,root,AgroForestLand,AgroForest_NonPasture,CropLand,biomass,1975,0
