INPUT_TABLE
Variable ID
LN1_HistUnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0143041
Africa_Northern,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0561369
Africa_Southern,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0045242
Africa_Western,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0032947
Australia_NZ,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0001296
Brazil,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
India,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Mexico,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0009375
Middle East,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0628631
Pakistan,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.013076
South Africa,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
South America_Northern,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
South America_Southern,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0515643
Africa_Eastern,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0020863
Africa_Northern,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0026131
Africa_Southern,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0004344
Africa_Western,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0271458
Australia_NZ,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0
Brazil,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0017785
India,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0449342
Mexico,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0005008
Middle East,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0033182
South Africa,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0
South America_Northern,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0
South America_Southern,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0.0084128
Colombia,root,UrbanLandAEZ02,UrbanLandAEZ02,1700,0
Africa_Eastern,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0145067
Africa_Northern,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0
Africa_Southern,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0113806
Africa_Western,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.1011831
Australia_NZ,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0006528
Brazil,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0089201
India,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.4685004
Mexico,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0021378
Middle East,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0179213
South Africa,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0015635
South America_Northern,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,6.72e-05
South America_Southern,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,5.65e-05
South Asia,root,UrbanLandAEZ03,UrbanLandAEZ03,1700,0.0002285
