INPUT_TABLE
Variable ID
LN2_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AllPastureLand,Pasture,1975,82.89496340000001
Africa_Eastern,root,AgroForestLand,AllPastureLand,Pasture,1990,103.55035120000001
Africa_Eastern,root,AgroForestLand,AllPastureLand,Pasture,2005,145.6743745
Africa_Eastern,root,AgroForestLand,AllPastureLand,Pasture,2010,152.565746
Africa_Northern,root,AgroForestLand,AllPastureLand,Pasture,1975,6.8679115
Africa_Northern,root,AgroForestLand,AllPastureLand,Pasture,1990,6.0394082
Africa_Northern,root,AgroForestLand,AllPastureLand,Pasture,2005,6.8687481
Africa_Northern,root,AgroForestLand,AllPastureLand,Pasture,2010,9.2008543
Africa_Southern,root,AgroForestLand,AllPastureLand,Pasture,1975,32.7405618
Africa_Southern,root,AgroForestLand,AllPastureLand,Pasture,1990,38.2524371
Africa_Southern,root,AgroForestLand,AllPastureLand,Pasture,2005,51.8669089
Africa_Southern,root,AgroForestLand,AllPastureLand,Pasture,2010,54.2084956
Africa_Western,root,AgroForestLand,AllPastureLand,Pasture,1975,45.7146464
Africa_Western,root,AgroForestLand,AllPastureLand,Pasture,1990,59.7084567
Africa_Western,root,AgroForestLand,AllPastureLand,Pasture,2005,87.4508774
Africa_Western,root,AgroForestLand,AllPastureLand,Pasture,2010,94.6205157
Argentina,root,AgroForestLand,AllPastureLand,Pasture,1975,98.3053808
Argentina,root,AgroForestLand,AllPastureLand,Pasture,1990,65.3791269
Argentina,root,AgroForestLand,AllPastureLand,Pasture,2005,89.916979
Argentina,root,AgroForestLand,AllPastureLand,Pasture,2010,92.4657911
Australia_NZ,root,AgroForestLand,AllPastureLand,Pasture,1975,105.8275111
Australia_NZ,root,AgroForestLand,AllPastureLand,Pasture,1990,90.7358211
Australia_NZ,root,AgroForestLand,AllPastureLand,Pasture,2005,126.9910292
Australia_NZ,root,AgroForestLand,AllPastureLand,Pasture,2010,123.885674
Brazil,root,AgroForestLand,AllPastureLand,Pasture,1975,142.8815086
Brazil,root,AgroForestLand,AllPastureLand,Pasture,1990,208.2894333
Brazil,root,AgroForestLand,AllPastureLand,Pasture,2005,342.2703778
