INPUT_TABLE
Variable ID
LN2_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf,year,allocation
Brazil,root,AgroForestLand,AllPastureLand,Pasture,2010,357.4923286
Canada,root,AgroForestLand,AllPastureLand,Pasture,1975,3.9574787
Canada,root,AgroForestLand,AllPastureLand,Pasture,1990,25.8556767
Canada,root,AgroForestLand,AllPastureLand,Pasture,2005,33.7165473
Canada,root,AgroForestLand,AllPastureLand,Pasture,2010,28.9060983
Central America and Caribbean,root,AgroForestLand,AllPastureLand,Pasture,1975,25.209647
Central America and Caribbean,root,AgroForestLand,AllPastureLand,Pasture,1990,32.9893802
Central America and Caribbean,root,AgroForestLand,AllPastureLand,Pasture,2005,26.043505800000002
Central America and Caribbean,root,AgroForestLand,AllPastureLand,Pasture,2010,29.6091186
Central Asia,root,AgroForestLand,AllPastureLand,Pasture,1975,68.2702064
Central Asia,root,AgroForestLand,AllPastureLand,Pasture,1990,55.3353173
Central Asia,root,AgroForestLand,AllPastureLand,Pasture,2005,35.9539539
Central Asia,root,AgroForestLand,AllPastureLand,Pasture,2010,46.5669915
China,root,AgroForestLand,AllPastureLand,Pasture,1975,87.4435717
China,root,AgroForestLand,AllPastureLand,Pasture,1990,113.9361913
China,root,AgroForestLand,AllPastureLand,Pasture,2005,239.0382406
China,root,AgroForestLand,AllPastureLand,Pasture,2010,261.6584743
Colombia,root,AgroForestLand,AllPastureLand,Pasture,1975,19.3800575
Colombia,root,AgroForestLand,AllPastureLand,Pasture,1990,29.456978200000002
Colombia,root,AgroForestLand,AllPastureLand,Pasture,2005,33.0292638
Colombia,root,AgroForestLand,AllPastureLand,Pasture,2010,36.7477611
EU-12,root,AgroForestLand,AllPastureLand,Pasture,1975,34.7894366
EU-12,root,AgroForestLand,AllPastureLand,Pasture,1990,32.4656841
EU-12,root,AgroForestLand,AllPastureLand,Pasture,2005,0
EU-12,root,AgroForestLand,AllPastureLand,Pasture,2010,0
EU-15,root,AgroForestLand,AllPastureLand,Pasture,1975,94.4516798
EU-15,root,AgroForestLand,AllPastureLand,Pasture,1990,85.4315108
EU-15,root,AgroForestLand,AllPastureLand,Pasture,2005,0
EU-15,root,AgroForestLand,AllPastureLand,Pasture,2010,0
Europe_Eastern,root,AgroForestLand,AllPastureLand,Pasture,1975,38.6747924
Europe_Eastern,root,AgroForestLand,AllPastureLand,Pasture,1990,47.8882406
Europe_Eastern,root,AgroForestLand,AllPastureLand,Pasture,2005,15.2846121
Europe_Eastern,root,AgroForestLand,AllPastureLand,Pasture,2010,14.0838911
Europe_Non_EU,root,AgroForestLand,AllPastureLand,Pasture,1975,22.7628007
Europe_Non_EU,root,AgroForestLand,AllPastureLand,Pasture,1990,15.8637507
Europe_Non_EU,root,AgroForestLand,AllPastureLand,Pasture,2005,15.0969429
Europe_Non_EU,root,AgroForestLand,AllPastureLand,Pasture,2010,15.5026696
European Free Trade Association,root,AgroForestLand,AllPastureLand,Pasture,1975,2.9380484
European Free Trade Association,root,AgroForestLand,AllPastureLand,Pasture,1990,7.0385229
European Free Trade Association,root,AgroForestLand,AllPastureLand,Pasture,2005,7.7111763
European Free Trade Association,root,AgroForestLand,AllPastureLand,Pasture,2010,7.1865469
India,root,AgroForestLand,AllPastureLand,Pasture,1975,17.2767978
India,root,AgroForestLand,AllPastureLand,Pasture,1990,41.5128932
India,root,AgroForestLand,AllPastureLand,Pasture,2005,20.432252
India,root,AgroForestLand,AllPastureLand,Pasture,2010,12.9993105
Indonesia,root,AgroForestLand,AllPastureLand,Pasture,1975,16.1624862
Indonesia,root,AgroForestLand,AllPastureLand,Pasture,1990,14.745691500000001
Indonesia,root,AgroForestLand,AllPastureLand,Pasture,2005,14.7419706
Indonesia,root,AgroForestLand,AllPastureLand,Pasture,2010,15.6611414
Japan,root,AgroForestLand,AllPastureLand,Pasture,1975,0
Japan,root,AgroForestLand,AllPastureLand,Pasture,1990,0
Japan,root,AgroForestLand,AllPastureLand,Pasture,2005,0
Japan,root,AgroForestLand,AllPastureLand,Pasture,2010,0
Mexico,root,AgroForestLand,AllPastureLand,Pasture,1975,46.2284636
Mexico,root,AgroForestLand,AllPastureLand,Pasture,1990,54.8010631
Mexico,root,AgroForestLand,AllPastureLand,Pasture,2005,62.1145557
Mexico,root,AgroForestLand,AllPastureLand,Pasture,2010,64.60656730000001
Middle East,root,AgroForestLand,AllPastureLand,Pasture,1975,8.3362778
Middle East,root,AgroForestLand,AllPastureLand,Pasture,1990,13.474599099999999
Middle East,root,AgroForestLand,AllPastureLand,Pasture,2005,16.2423636
Middle East,root,AgroForestLand,AllPastureLand,Pasture,2010,16.1125826
Pakistan,root,AgroForestLand,AllPastureLand,Pasture,1975,21.455913499999998
Pakistan,root,AgroForestLand,AllPastureLand,Pasture,1990,33.5373881
Pakistan,root,AgroForestLand,AllPastureLand,Pasture,2005,43.1995413
Pakistan,root,AgroForestLand,AllPastureLand,Pasture,2010,43.1595073
Russia,root,AgroForestLand,AllPastureLand,Pasture,1975,100.785433
Russia,root,AgroForestLand,AllPastureLand,Pasture,1990,89.5071926
Russia,root,AgroForestLand,AllPastureLand,Pasture,2005,39.4924215
Russia,root,AgroForestLand,AllPastureLand,Pasture,2010,46.6690847
South Africa,root,AgroForestLand,AllPastureLand,Pasture,1975,43.973154
South Africa,root,AgroForestLand,AllPastureLand,Pasture,1990,45.240861599999995
South Africa,root,AgroForestLand,AllPastureLand,Pasture,2005,52.9252035
South Africa,root,AgroForestLand,AllPastureLand,Pasture,2010,56.2868074
South America_Northern,root,AgroForestLand,AllPastureLand,Pasture,1975,14.1043947
South America_Northern,root,AgroForestLand,AllPastureLand,Pasture,1990,18.0767041
South America_Northern,root,AgroForestLand,AllPastureLand,Pasture,2005,19.3900516
South America_Northern,root,AgroForestLand,AllPastureLand,Pasture,2010,21.5729228
South America_Southern,root,AgroForestLand,AllPastureLand,Pasture,1975,44.220388299999996
South America_Southern,root,AgroForestLand,AllPastureLand,Pasture,1990,27.1038503
South America_Southern,root,AgroForestLand,AllPastureLand,Pasture,2005,44.6499253
South America_Southern,root,AgroForestLand,AllPastureLand,Pasture,2010,45.372820600000004
South Asia,root,AgroForestLand,AllPastureLand,Pasture,1975,18.5130079
South Asia,root,AgroForestLand,AllPastureLand,Pasture,1990,17.413456
South Asia,root,AgroForestLand,AllPastureLand,Pasture,2005,20.358245
South Asia,root,AgroForestLand,AllPastureLand,Pasture,2010,20.097475799999998
South Korea,root,AgroForestLand,AllPastureLand,Pasture,1975,0.2109834
South Korea,root,AgroForestLand,AllPastureLand,Pasture,1990,0.3723147
South Korea,root,AgroForestLand,AllPastureLand,Pasture,2005,0.2942216
South Korea,root,AgroForestLand,AllPastureLand,Pasture,2010,0.3037794
Southeast Asia,root,AgroForestLand,AllPastureLand,Pasture,1975,32.1114792
Southeast Asia,root,AgroForestLand,AllPastureLand,Pasture,1990,28.201142400000002
Southeast Asia,root,AgroForestLand,AllPastureLand,Pasture,2005,29.164072
Southeast Asia,root,AgroForestLand,AllPastureLand,Pasture,2010,36.5304889
USA,root,AgroForestLand,AllPastureLand,Pasture,1975,175.2509406
USA,root,AgroForestLand,AllPastureLand,Pasture,1990,67.8453177
USA,root,AgroForestLand,AllPastureLand,Pasture,2005,7.1533507
USA,root,AgroForestLand,AllPastureLand,Pasture,2010,8.2807023
