INPUT_TABLE
Variable ID
LN3_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,69.6576482
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,101.5758769
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,134.9192066
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,146.4325011
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,5.4895771
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,3.1031991
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,0.9418944
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,1.459102
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,33.674903799999996
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,44.2088192
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,53.0231829
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,55.376089199999996
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,94.3387532
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,127.8738416
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,169.5774383
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,181.5618347
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,5.3358383
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,7.4883346
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,10.7565952
Argentina,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,11.5975579
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,22.7998805
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,30.4066684
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,47.2079308
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,48.6795419
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,77.9243189
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,116.2616226
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,152.7120576
Brazil,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,162.0890645
Canada,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,212.7291394
Canada,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,297.918827
Canada,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,371.4559855
Canada,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,259.4974125
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,23.8052903
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,27.7869791
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,31.8360221
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,32.4464107
Central Asia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,4.8071418999999995
Central Asia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,3.6081668000000002
Central Asia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,3.8466458
Central Asia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,3.5015503
China,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,432.4777077
China,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,425.8307337
China,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,339.3988083
China,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,325.3116925
Colombia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,5.1169035
Colombia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,6.0572683000000005
Colombia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,6.9170199
Colombia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,6.504664900000001
EU-12,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,94.77960979999999
EU-12,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,82.3889722
EU-12,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,118.69382189999999
EU-12,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,125.0161038
EU-15,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,270.9946473
EU-15,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,403.1473194
EU-15,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,426.3331303
EU-15,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,393.3493006
Europe_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,19.3304655
Europe_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,18.891644799999998
Europe_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,25.0512969
Europe_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,28.4603615
Europe_Non_EU,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,30.5416918
Europe_Non_EU,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,26.5353418
Europe_Non_EU,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,30.3520014
Europe_Non_EU,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,40.5527698
European Free Trade Association,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,26.1920957
European Free Trade Association,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,34.950921799999996
European Free Trade Association,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,28.6409704
European Free Trade Association,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,29.5387454
India,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,160.213138
India,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,212.7808071
India,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,231.9745436
India,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,234.2814918
Indonesia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,117.95470809999999
Indonesia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,94.7055553
Indonesia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,71.3082742
Indonesia,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,65.5805118
Japan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,41.4364072
Japan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,34.9193591
Japan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,19.3741067
Japan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,20.5684216
Mexico,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,28.5479828
Mexico,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,34.3908827
Mexico,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,36.3864197
Mexico,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,35.8429391
Middle East,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,5.604222399999999
Middle East,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,2.1590868
Middle East,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2005,2.136717
Middle East,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,2010,2.2654214
Pakistan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1975,3.9823120999999997
Pakistan,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,1990,3.6598037999999997
