INPUT_TABLE
Variable ID
LN3_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,1975,148.5933983
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,1990,110.47277919999999
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,2005,57.5248129
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,2010,39.8210579
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OtherArableLand,1975,120.67895850000001
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OtherArableLand,1990,133.8097198
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OtherArableLand,2005,79.4842469
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OtherArableLand,2010,110.12502880000001
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Grassland,1975,993.6817773
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Grassland,1990,859.3135321
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Grassland,2005,723.7294676
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Grassland,2010,708.3875899999999
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Shrubland,1975,544.8649211
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Shrubland,1990,547.4368288000001
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Shrubland,2005,605.8164382
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Shrubland,2010,602.4572291000001
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,1975,0
