INPUT_TABLE
Variable ID
LN2_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,UnmanagedLandLeaf,year,allocation
South Korea,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,0.0657026
South Korea,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,0.051921499999999995
South Korea,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,0.053608100000000006
Southeast Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,8.4370108
Southeast Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,20.5435724
Southeast Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,32.8015336
Southeast Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,25.5351759
USA,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,2220.8837516
USA,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,2313.1032786
USA,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,2332.3173033
USA,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,2461.4291494
