INPUT_TABLE
Variable ID
LN2_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,2364.7799839
Africa_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,2458.7192718
Africa_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,2354.6557626
Africa_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,2346.842946
Africa_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,762.7543483
Africa_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,729.2512164
Africa_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,728.6071857000001
Africa_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,725.0595314999999
Africa_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,2115.6813623
Africa_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,2129.7242843
Africa_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,2162.7200377999998
Africa_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,2153.6365414
Africa_Western,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,2569.8224804
Africa_Western,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,2575.8328166
Africa_Western,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,2463.2295414
Africa_Western,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,2511.7057519
Argentina,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,912.0264576000001
Argentina,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,929.8068458
Argentina,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,906.0074956
Argentina,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,985.5860577
Australia_NZ,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,4380.3422735
Australia_NZ,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,4167.901355
Australia_NZ,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,3925.4745310999997
Australia_NZ,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,3505.3237091
Brazil,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,1472.2787659
Brazil,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,1619.5590661
Brazil,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,1606.9813763
Brazil,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,1585.3961748
Canada,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,152.4097574
Canada,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,129.6068457
Canada,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,116.279624
Canada,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,115.7837563
Central America and Caribbean,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,103.3675913
Central America and Caribbean,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,120.2969408
Central America and Caribbean,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,130.4150344
Central America and Caribbean,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,105.7764304
Central Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,3460.8546054
Central Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,3472.5086488
Central Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,3767.7049315
Central Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,3597.6829005
China,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,2961.6316802
China,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,3884.5761509
China,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,3751.0004237
China,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,3658.3071102
Colombia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,362.3435228
Colombia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,362.5405237
Colombia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,347.9645005
Colombia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,346.1085073
EU-12,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,114.9209154
EU-12,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,120.47729530000001
EU-12,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,148.31166349999998
EU-12,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,138.9633787
EU-15,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,485.5021536
EU-15,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,454.982929
EU-15,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,497.8415239
EU-15,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,496.1571506
Europe_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,60.864406599999995
Europe_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,55.020071200000004
Europe_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,101.4917794
Europe_Eastern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,101.36146459999999
Europe_Non_EU,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,143.9786302
Europe_Non_EU,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,164.2776887
Europe_Non_EU,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,179.5310672
Europe_Non_EU,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,170.8946282
European Free Trade Association,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,32.7420072
European Free Trade Association,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,27.4812501
European Free Trade Association,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,22.6411149
European Free Trade Association,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,16.3968659
India,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,95.8066123
India,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,64.2427288
India,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,89.57639209999999
India,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,85.6559137
Indonesia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,87.3561606
Indonesia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,96.37718480000001
Indonesia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,79.0205081
Indonesia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,76.4003185
Japan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,4.9417163
Japan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,2.9202894
Japan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,2.8227742
Japan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,0
Mexico,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,689.1542645
Mexico,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,709.8772835
Mexico,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,727.5201408
Mexico,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,675.597647
Middle East,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,1585.1833491
Middle East,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,1937.5504936
Middle East,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,1822.8759792
Middle East,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,1866.0915555
Pakistan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,29.8837168
Pakistan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,17.6659347
Pakistan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,7.6234485
Pakistan,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,7.6163837
Russia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,701.9327711
Russia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,736.3653352
Russia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,879.0910322
Russia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,869.6833319000001
South Africa,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,774.9938605
South Africa,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,776.3332055
South Africa,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,783.311282
South Africa,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,779.3633124
South America_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,164.2915558
South America_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,174.8096921
South America_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,173.2245063
South America_Northern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,168.32784900000001
South America_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,838.8368131999999
South America_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,985.9844989
South America_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,977.4459444
South America_Southern,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,931.2146055
South Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,313.3454388
South Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1990,315.88174219999996
South Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2005,312.5711701
South Asia,root,AgroForestLand,AllPastureLand,UnmanagedPasture,2010,314.69591330000003
South Korea,root,AgroForestLand,AllPastureLand,UnmanagedPasture,1975,0.0372324
