INPUT_TABLE
Variable ID
AgHAtoCL

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,harvests.per.year
Africa_Eastern,Corn,Corn,Corn,1975,1.0270631641351682
Africa_Eastern,Corn,Corn,Corn,1990,1.014083981427856
Africa_Eastern,Corn,Corn,Corn,2005,1.0902900424924051
Africa_Eastern,Corn,Corn,Corn,2010,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2015,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2020,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2025,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2030,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2035,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2040,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2045,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2050,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2055,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2060,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2065,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2070,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2075,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2080,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2085,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2090,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2095,1.0562260824134084
Africa_Eastern,Corn,Corn,Corn,2100,1.0562260824134084
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,1975,1.0274524654342572
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,1990,1.0135962619543344
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2005,1.0886652945984998
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2010,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2015,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2020,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2025,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2030,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2035,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2040,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2045,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2050,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2055,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2060,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2065,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2070,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2075,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2080,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2085,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2090,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2095,1.047667078969598
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2100,1.047667078969598
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,1975,1.0312753352909505
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,1990,1.0111515616419116
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2005,1.0466261410652322
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2010,1.0312753352909505
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2015,1.0312753352909505
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2020,1.0312753352909505
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2025,1.0312753352909505
