INPUT_TABLE
Variable ID
LN3_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf,year,allocation
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Corn,1975,30.7968886
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Corn,1990,37.2076384
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Corn,2005,48.7124412
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,Corn,2010,53.6621477
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FiberCrop,1975,14.6302726
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FiberCrop,1990,7.9238256
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FiberCrop,2005,7.1261111
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FiberCrop,2010,6.502123
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderGrass,1975,0
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderGrass,1990,1.1867656
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderGrass,2005,1.4331766
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderGrass,2010,1.4932967
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderHerb,1975,0.2841429
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderHerb,1990,0.4952688
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderHerb,2005,1.1984632
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,FodderHerb,2010,1.3108472
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,MiscCrop,1975,69.81971320000001
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,MiscCrop,1990,87.487148
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,MiscCrop,2005,100.5908566
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,MiscCrop,2010,110.2619043
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OilCrop,1975,30.7478655
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OilCrop,1990,20.8913162
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,OilCrop,2005,43.792571
