INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,RockIceDesert,RockIceDesert,1975,1156.6516509
Africa_Eastern,root,RockIceDesert,RockIceDesert,1990,1154.215051
Africa_Eastern,root,RockIceDesert,RockIceDesert,2005,1194.8904217
Africa_Eastern,root,RockIceDesert,RockIceDesert,2010,1194.9861879
Africa_Eastern,root,Tundra,Tundra,1975,0
Africa_Eastern,root,Tundra,Tundra,1990,0
Africa_Eastern,root,Tundra,Tundra,2005,0
Africa_Eastern,root,Tundra,Tundra,2010,0
Africa_Eastern,root,UrbanLand,UrbanLand,1975,1.2421767
Africa_Eastern,root,UrbanLand,UrbanLand,1990,2.6365192
Africa_Eastern,root,UrbanLand,UrbanLand,2005,5.2402532
Africa_Eastern,root,UrbanLand,UrbanLand,2010,6.4683703
Africa_Northern,root,RockIceDesert,RockIceDesert,1975,4601.0316184
Africa_Northern,root,RockIceDesert,RockIceDesert,1990,4639.4599074
Africa_Northern,root,RockIceDesert,RockIceDesert,2005,4677.583196
Africa_Northern,root,RockIceDesert,RockIceDesert,2010,4674.5696917
Africa_Northern,root,Tundra,Tundra,1975,0
Africa_Northern,root,Tundra,Tundra,1990,0
Africa_Northern,root,Tundra,Tundra,2005,0
Africa_Northern,root,Tundra,Tundra,2010,0
Africa_Northern,root,UrbanLand,UrbanLand,1975,4.1657295
Africa_Northern,root,UrbanLand,UrbanLand,1990,9.3391525
Africa_Northern,root,UrbanLand,UrbanLand,2005,13.2247319
Africa_Northern,root,UrbanLand,UrbanLand,2010,15.8673871
Africa_Southern,root,RockIceDesert,RockIceDesert,1975,134.4218841
Africa_Southern,root,RockIceDesert,RockIceDesert,1990,134.30607890000002
Africa_Southern,root,RockIceDesert,RockIceDesert,2005,133.7525909
Africa_Southern,root,RockIceDesert,RockIceDesert,2010,133.6440117
Africa_Southern,root,Tundra,Tundra,1975,0
Africa_Southern,root,Tundra,Tundra,1990,0
Africa_Southern,root,Tundra,Tundra,2005,0
Africa_Southern,root,Tundra,Tundra,2010,0
Africa_Southern,root,UrbanLand,UrbanLand,1975,1.3040227
Africa_Southern,root,UrbanLand,UrbanLand,1990,3.1560983
Africa_Southern,root,UrbanLand,UrbanLand,2005,5.5665315
Africa_Southern,root,UrbanLand,UrbanLand,2010,6.4554437
Africa_Western,root,RockIceDesert,RockIceDesert,1975,2613.7640781
Africa_Western,root,RockIceDesert,RockIceDesert,1990,2609.6111211
Africa_Western,root,RockIceDesert,RockIceDesert,2005,2745.6510884
Africa_Western,root,RockIceDesert,RockIceDesert,2010,2732.654053
Africa_Western,root,Tundra,Tundra,1975,0
Africa_Western,root,Tundra,Tundra,1990,0
Africa_Western,root,Tundra,Tundra,2005,0
Africa_Western,root,Tundra,Tundra,2010,0
Africa_Western,root,UrbanLand,UrbanLand,1975,4.5416709
Africa_Western,root,UrbanLand,UrbanLand,1990,8.6467286
Africa_Western,root,UrbanLand,UrbanLand,2005,16.1444758
Africa_Western,root,UrbanLand,UrbanLand,2010,19.4630296
Argentina,root,RockIceDesert,RockIceDesert,1975,133.5092804
Argentina,root,RockIceDesert,RockIceDesert,1990,134.0737709
Argentina,root,RockIceDesert,RockIceDesert,2005,133.9175209
Argentina,root,RockIceDesert,RockIceDesert,2010,132.2203463
Argentina,root,Tundra,Tundra,1975,28.4542505
Argentina,root,Tundra,Tundra,1990,28.4897246
Argentina,root,Tundra,Tundra,2005,28.4168639
Argentina,root,Tundra,Tundra,2010,27.6222219
Argentina,root,UrbanLand,UrbanLand,1975,2.9593931
Argentina,root,UrbanLand,UrbanLand,1990,4.2019243
Argentina,root,UrbanLand,UrbanLand,2005,5.5402797
Argentina,root,UrbanLand,UrbanLand,2010,5.964997
Australia_NZ,root,RockIceDesert,RockIceDesert,1975,19.00719
Australia_NZ,root,RockIceDesert,RockIceDesert,1990,19.159757900000002
Australia_NZ,root,RockIceDesert,RockIceDesert,2005,19.2960025
Australia_NZ,root,RockIceDesert,RockIceDesert,2010,19.5861014
Australia_NZ,root,Tundra,Tundra,1975,0.1992072
Australia_NZ,root,Tundra,Tundra,1990,0.2010009
Australia_NZ,root,Tundra,Tundra,2005,0.2067631
Australia_NZ,root,Tundra,Tundra,2010,0.3902145
Australia_NZ,root,UrbanLand,UrbanLand,1975,6.9979394
Australia_NZ,root,UrbanLand,UrbanLand,1990,9.2007368
Australia_NZ,root,UrbanLand,UrbanLand,2005,12.679759599999999
Australia_NZ,root,UrbanLand,UrbanLand,2010,14.1604426
Brazil,root,RockIceDesert,RockIceDesert,1975,4.7733871
Brazil,root,RockIceDesert,RockIceDesert,1990,4.5385809
Brazil,root,RockIceDesert,RockIceDesert,2005,4.7951714
Brazil,root,RockIceDesert,RockIceDesert,2010,4.7610314
Brazil,root,Tundra,Tundra,1975,2.0397863000000003
Brazil,root,Tundra,Tundra,1990,1.8959772
Brazil,root,Tundra,Tundra,2005,1.920301
Brazil,root,Tundra,Tundra,2010,1.8913115999999999
Brazil,root,UrbanLand,UrbanLand,1975,9.7689115
Brazil,root,UrbanLand,UrbanLand,1990,16.2411208
Brazil,root,UrbanLand,UrbanLand,2005,23.3799812
Brazil,root,UrbanLand,UrbanLand,2010,25.4916938
Canada,root,RockIceDesert,RockIceDesert,1975,226.1646059
Canada,root,RockIceDesert,RockIceDesert,1990,226.1645423
Canada,root,RockIceDesert,RockIceDesert,2005,226.1648842
Canada,root,RockIceDesert,RockIceDesert,2010,226.1647889
Canada,root,Tundra,Tundra,1975,1996.1709064
Canada,root,Tundra,Tundra,1990,1996.1673597000001
Canada,root,Tundra,Tundra,2005,1996.1585977
Canada,root,Tundra,Tundra,2010,1996.191634
Canada,root,UrbanLand,UrbanLand,1975,2.9177853000000002
Canada,root,UrbanLand,UrbanLand,1990,4.2498613
Canada,root,UrbanLand,UrbanLand,2005,6.2915343
Canada,root,UrbanLand,UrbanLand,2010,7.1612093
Central America and Caribbean,root,RockIceDesert,RockIceDesert,1975,0
Central America and Caribbean,root,RockIceDesert,RockIceDesert,1990,0
Central America and Caribbean,root,RockIceDesert,RockIceDesert,2005,0
Central America and Caribbean,root,RockIceDesert,RockIceDesert,2010,0
Central America and Caribbean,root,Tundra,Tundra,1975,0
Central America and Caribbean,root,Tundra,Tundra,1990,0
Central America and Caribbean,root,Tundra,Tundra,2005,0
Central America and Caribbean,root,Tundra,Tundra,2010,0
Central America and Caribbean,root,UrbanLand,UrbanLand,1975,1.8893128000000001
Central America and Caribbean,root,UrbanLand,UrbanLand,1990,3.0053894
Central America and Caribbean,root,UrbanLand,UrbanLand,2005,4.9422635
Central America and Caribbean,root,UrbanLand,UrbanLand,2010,5.5574867
Central Asia,root,RockIceDesert,RockIceDesert,1975,441.9787841
Central Asia,root,RockIceDesert,RockIceDesert,1990,448.4497974
Central Asia,root,RockIceDesert,RockIceDesert,2005,444.4309923
Central Asia,root,RockIceDesert,RockIceDesert,2010,448.891456
Central Asia,root,Tundra,Tundra,1975,93.9975123
Central Asia,root,Tundra,Tundra,1990,91.9407473
Central Asia,root,Tundra,Tundra,2005,84.95391839999999
