INPUT_TABLE
Variable ID
AgProduction

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,calOutputValue
Africa_Eastern,Corn,Corn,Corn,1975,3.9573201
Africa_Eastern,Corn,Corn,Corn,1990,5.7295252
Africa_Eastern,Corn,Corn,Corn,2005,8.841674
Africa_Eastern,Corn,Corn,Corn,2010,10.8992771
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,1975,0.9614269999999999
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,1990,0.6435948
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2005,0.5577621
Africa_Eastern,FiberCrop,FiberCrop,FiberCrop,2010,0.3782628
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,1975,0
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,1990,0.8
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2005,1.45
Africa_Eastern,FodderGrass,FodderGrass,FodderGrass,2010,1.49
Africa_Eastern,FodderHerb,FodderHerb,FodderHerb,1975,0.0125999
Africa_Eastern,FodderHerb,FodderHerb,FodderHerb,1990,0.0546461
Africa_Eastern,FodderHerb,FodderHerb,FodderHerb,2005,0.1591171
Africa_Eastern,FodderHerb,FodderHerb,FodderHerb,2010,0.2163839
Africa_Eastern,MiscCrop,MiscCrop,MiscCrop,1975,20.6029741
Africa_Eastern,MiscCrop,MiscCrop,MiscCrop,1990,24.0136491
Africa_Eastern,MiscCrop,MiscCrop,MiscCrop,2005,34.195357200000004
Africa_Eastern,MiscCrop,MiscCrop,MiscCrop,2010,39.9216991
Africa_Eastern,OilCrop,OilCrop,OilCrop,1975,1.8047639
Africa_Eastern,OilCrop,OilCrop,OilCrop,1990,1.2412621
Africa_Eastern,OilCrop,OilCrop,OilCrop,2005,2.3433831
Africa_Eastern,OilCrop,OilCrop,OilCrop,2010,3.028477
Africa_Eastern,OtherGrain,OtherGrain,OtherGrain,1975,6.651025
Africa_Eastern,OtherGrain,OtherGrain,OtherGrain,1990,6.1481289
Africa_Eastern,OtherGrain,OtherGrain,OtherGrain,2005,15.0001739
Africa_Eastern,OtherGrain,OtherGrain,OtherGrain,2010,13.685584
Africa_Eastern,PalmFruit,PalmFruit,PalmFruit,1975,0.1899699
Africa_Eastern,PalmFruit,PalmFruit,PalmFruit,1990,0.24354900000000002
Africa_Eastern,PalmFruit,PalmFruit,PalmFruit,2005,0.3092281
Africa_Eastern,PalmFruit,PalmFruit,PalmFruit,2010,0.3275659
Africa_Eastern,Rice,Rice,Rice,1975,2.052514
Africa_Eastern,Rice,Rice,Rice,1990,2.5955769
Africa_Eastern,Rice,Rice,Rice,2005,3.8081878
Africa_Eastern,Rice,Rice,Rice,2010,5.3630528
Africa_Eastern,Root_Tuber,Root_Tuber,Root_Tuber,1975,12.2092099
Africa_Eastern,Root_Tuber,Root_Tuber,Root_Tuber,1990,16.6382901
Africa_Eastern,Root_Tuber,Root_Tuber,Root_Tuber,2005,28.206006
Africa_Eastern,Root_Tuber,Root_Tuber,Root_Tuber,2010,33.0111229
Africa_Eastern,SugarCrop,SugarCrop,SugarCrop,1975,13.0167041
Africa_Eastern,SugarCrop,SugarCrop,SugarCrop,1990,20.933411
Africa_Eastern,SugarCrop,SugarCrop,SugarCrop,2005,26.611204999999998
Africa_Eastern,SugarCrop,SugarCrop,SugarCrop,2010,26.9577061
Africa_Eastern,Wheat,Wheat,Wheat,1975,1.147435
Africa_Eastern,Wheat,Wheat,Wheat,1990,1.486693
Africa_Eastern,Wheat,Wheat,Wheat,2005,3.172846
Africa_Eastern,Wheat,Wheat,Wheat,2010,4.1426478
Africa_Northern,Corn,Corn,Corn,1975,3.159113
Africa_Northern,Corn,Corn,Corn,1990,5.2348909
Africa_Northern,Corn,Corn,Corn,2005,7.1400579
Africa_Northern,Corn,Corn,Corn,2010,7.3241189
Africa_Northern,FiberCrop,FiberCrop,FiberCrop,1975,1.081723
Africa_Northern,FiberCrop,FiberCrop,FiberCrop,1990,0.885627
Africa_Northern,FiberCrop,FiberCrop,FiberCrop,2005,0.5778599
Africa_Northern,FiberCrop,FiberCrop,FiberCrop,2010,0.391507
Africa_Northern,FodderGrass,FodderGrass,FodderGrass,1975,1.2759999
Africa_Northern,FodderGrass,FodderGrass,FodderGrass,1990,4.899
Africa_Northern,FodderGrass,FodderGrass,FodderGrass,2005,7.4799999999999995
Africa_Northern,FodderGrass,FodderGrass,FodderGrass,2010,7.7800001
Africa_Northern,FodderHerb,FodderHerb,FodderHerb,1975,44.038188999999996
Africa_Northern,FodderHerb,FodderHerb,FodderHerb,1990,50.876547
Africa_Northern,FodderHerb,FodderHerb,FodderHerb,2005,52.135671
Africa_Northern,FodderHerb,FodderHerb,FodderHerb,2010,52.142105900000004
Africa_Northern,MiscCrop,MiscCrop,MiscCrop,1975,16.3627219
Africa_Northern,MiscCrop,MiscCrop,MiscCrop,1990,25.9812249
Africa_Northern,MiscCrop,MiscCrop,MiscCrop,2005,44.8849641
Africa_Northern,MiscCrop,MiscCrop,MiscCrop,2010,53.0702321
Africa_Northern,OilCrop,OilCrop,OilCrop,1975,1.685579
Africa_Northern,OilCrop,OilCrop,OilCrop,1990,2.0027639
Africa_Northern,OilCrop,OilCrop,OilCrop,2005,3.0955781
Africa_Northern,OilCrop,OilCrop,OilCrop,2010,3.737711
Africa_Northern,OtherGrain,OtherGrain,OtherGrain,1975,4.002267
Africa_Northern,OtherGrain,OtherGrain,OtherGrain,1990,4.5647591
Africa_Northern,OtherGrain,OtherGrain,OtherGrain,2005,3.9342341000000003
Africa_Northern,OtherGrain,OtherGrain,OtherGrain,2010,5.5699051
Africa_Northern,PalmFruit,PalmFruit,PalmFruit,1975,0
Africa_Northern,PalmFruit,PalmFruit,PalmFruit,1990,0
Africa_Northern,PalmFruit,PalmFruit,PalmFruit,2005,0
Africa_Northern,PalmFruit,PalmFruit,PalmFruit,2010,0
Africa_Northern,Rice,Rice,Rice,1975,2.4542498999999998
Africa_Northern,Rice,Rice,Rice,1990,3.1723000999999997
Africa_Northern,Rice,Rice,Rice,2005,6.1684779999999995
Africa_Northern,Rice,Rice,Rice,2010,4.3802281
Africa_Northern,Root_Tuber,Root_Tuber,Root_Tuber,1975,1.818069
Africa_Northern,Root_Tuber,Root_Tuber,Root_Tuber,1990,3.9148461
Africa_Northern,Root_Tuber,Root_Tuber,Root_Tuber,2005,7.8866961
Africa_Northern,Root_Tuber,Root_Tuber,Root_Tuber,2010,9.7231611
Africa_Northern,SugarCrop,SugarCrop,SugarCrop,1975,9.87585
Africa_Northern,SugarCrop,SugarCrop,SugarCrop,1990,15.954415
Africa_Northern,SugarCrop,SugarCrop,SugarCrop,2005,23.83067
Africa_Northern,SugarCrop,SugarCrop,SugarCrop,2010,26.6173899
Africa_Northern,Wheat,Wheat,Wheat,1975,6.4660141
Africa_Northern,Wheat,Wheat,Wheat,1990,9.8827799
Africa_Northern,Wheat,Wheat,Wheat,2005,15.350470000000001
Africa_Northern,Wheat,Wheat,Wheat,2010,16.0815401
Africa_Southern,Corn,Corn,Corn,1975,6.5571131000000005
Africa_Southern,Corn,Corn,Corn,1990,7.830565
Africa_Southern,Corn,Corn,Corn,2005,8.0673271
Africa_Southern,Corn,Corn,Corn,2010,15.4080611
Africa_Southern,FiberCrop,FiberCrop,FiberCrop,1975,0.696993
Africa_Southern,FiberCrop,FiberCrop,FiberCrop,1990,0.5307869
Africa_Southern,FiberCrop,FiberCrop,FiberCrop,2005,0.9193449
Africa_Southern,FiberCrop,FiberCrop,FiberCrop,2010,0.778397
Africa_Southern,FodderGrass,FodderGrass,FodderGrass,1975,0
Africa_Southern,FodderGrass,FodderGrass,FodderGrass,1990,0
Africa_Southern,FodderGrass,FodderGrass,FodderGrass,2005,0
Africa_Southern,FodderGrass,FodderGrass,FodderGrass,2010,0
Africa_Southern,FodderHerb,FodderHerb,FodderHerb,1975,0
Africa_Southern,FodderHerb,FodderHerb,FodderHerb,1990,0
Africa_Southern,FodderHerb,FodderHerb,FodderHerb,2005,0
Africa_Southern,FodderHerb,FodderHerb,FodderHerb,2010,0
Africa_Southern,MiscCrop,MiscCrop,MiscCrop,1975,5.3731091
Africa_Southern,MiscCrop,MiscCrop,MiscCrop,1990,6.9745200999999994
