INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,266.76072765
Africa_Northern,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,1.11636612
Africa_Southern,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,8.590977
Africa_Western,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,200.59120584
Australia_NZ,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,173.86788825
Brazil,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,5.74093692
India,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,25.21308897
Mexico,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,35.33730165
Middle East,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,163.88259867
Pakistan,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,45.20373651
South Africa,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0.04192164
South America_Northern,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
South America_Southern,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,13.63995558
Africa_Eastern,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,118.60536573
Africa_Northern,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,0.14255631
Africa_Southern,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,3.05422758
Africa_Western,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,6.21461115
Australia_NZ,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,117.77679666
Brazil,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,48.93429132
India,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,20.22790959
Mexico,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,1.49149989
Middle East,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,0.43050699
South Africa,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,0.98379945
South America_Northern,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,0.97509177
South America_Southern,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,3.88615824
Colombia,root,ProtectedShrublandAEZ02,ProtectedShrublandAEZ02,1975,0.11119446
Africa_Eastern,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,53.89843554
Africa_Northern,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,0
Africa_Southern,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,3.1639581
Africa_Western,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,0.41114295
Australia_NZ,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,5.92048368
Brazil,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,245.89474389
India,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,32.74564266
Mexico,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,4.25368107
Middle East,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,1.26149742
South Africa,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,2.17821861
South America_Northern,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,1.29620664
South America_Southern,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,11.60564292
South Asia,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,0.15504075
Colombia,root,ProtectedShrublandAEZ03,ProtectedShrublandAEZ03,1975,0
Africa_Eastern,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,17.15350779
Africa_Northern,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.14400531
Africa_Southern,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,9.99981153
Africa_Western,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,2.89346409
Australia_NZ,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,5.9794299
Brazil,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,152.75058399
Central America and Caribbean,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.16627923
China,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.02459367
EU-15,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.26868546
India,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,6.54613155
Indonesia,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0
Mexico,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,6.9775173
South Africa,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0
South America_Northern,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,1.09413711
South America_Southern,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,3.59241147
South Asia,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.53586477
Southeast Asia,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,1.72002024
Colombia,root,ProtectedShrublandAEZ04,ProtectedShrublandAEZ04,1975,0.28611594
Africa_Eastern,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,17.44548804
Africa_Southern,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.56020518
Africa_Western,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,7.36349607
Australia_NZ,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.45983709
Brazil,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,30.39261552
Central America and Caribbean,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.30434391
China,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.35478648
India,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.37050381
Indonesia,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0
Mexico,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,4.13558982
South Africa,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.4979493
South America_Northern,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,2.84426235
South America_Southern,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.62415765
South Asia,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,0.31560426
Southeast Asia,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,6.4872117
Colombia,root,ProtectedShrublandAEZ05,ProtectedShrublandAEZ05,1975,1.80664659
Africa_Eastern,root,ProtectedShrublandAEZ06,ProtectedShrublandAEZ06,1975,3.68715627
Africa_Southern,root,ProtectedShrublandAEZ06,ProtectedShrublandAEZ06,1975,0.20614725
Africa_Western,root,ProtectedShrublandAEZ06,ProtectedShrublandAEZ06,1975,9.33999264
Australia_NZ,root,ProtectedShrublandAEZ06,ProtectedShrublandAEZ06,1975,0.24854535
Brazil,root,ProtectedShrublandAEZ06,ProtectedShrublandAEZ06,1975,9.24823008
