INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf,year,allocation
Africa_Eastern,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.2577929
Africa_Northern,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,2.0108491
Africa_Southern,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0022439
Africa_Western,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0924095
Australia_NZ,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0046676
Brazil,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
India,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0019314
Mexico,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0406593
Middle East,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.8565105
Pakistan,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.2704978
South Africa,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0118771
South America_Northern,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.0170136
South America_Southern,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.1544087
Africa_Eastern,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.1755536
Africa_Northern,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0681563
Africa_Southern,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0129929
Africa_Western,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.4008651
Australia_NZ,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.015422
Brazil,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0617119
India,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.3493757
Mexico,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0714761
Middle East,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0291967
South Africa,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0369852
South America_Northern,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.1207426
South America_Southern,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0.0162449
Colombia,root,UrbanLandAEZ02,UrbanLandAEZ02,1975,0
Africa_Eastern,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.091499
Africa_Northern,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.0188719
Africa_Southern,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.2445913
Africa_Western,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.5668931
Australia_NZ,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.0961791
Brazil,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.3316225
India,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,2.9653413
Mexico,root,UrbanLandAEZ03,UrbanLandAEZ03,1975,0.2089879
