region,GCAM_commodity,year,area
Africa_Eastern,Corn,1961,20.5646
Africa_Northern,Corn,1961,10.90536
Africa_Southern,Corn,1961,43.00976
Africa_Western,Corn,1961,44.04973
Argentina,Corn,1961,27.444
Australia_NZ,Corn,1961,0.78885
Brazil,Corn,1961,68.8574
Canada,Corn,1961,1.86912
Central America and Caribbean,Corn,1961,17.51469
Central Asia,Corn,1961,571.6
China,Corn,1961,152.15
Colombia,Corn,1961,7.1083
EU-12,Corn,1961,297.46239
EU-15,Corn,1961,33.71041
Europe_Eastern,Corn,1961,214.35
Europe_Non_EU,Corn,1961,134.31516
European Free Trade Association,Corn,1961,0.01776
India,Corn,1961,45.07
Indonesia,Corn,1961,25.62
Japan,Corn,1961,0.696
Mexico,Corn,1961,62.87747
Middle East,Corn,1961,0.90989
Pakistan,Corn,1961,4.73083
Russia,Corn,1961,71.45
South Africa,Corn,1961,41.33
South America_Northern,Corn,1961,3.90751
South America_Southern,Corn,1961,12.01574
South Asia,Corn,1961,9.88163
South Korea,Corn,1961,0.47618
Southeast Asia,Corn,1961,27.63813
USA,Corn,1961,236.01727
Africa_Eastern,FiberCrop,1961,13.91457
Africa_Northern,FiberCrop,1961,8.61604
Africa_Southern,FiberCrop,1961,9.4245
Africa_Western,FiberCrop,1961,11.4298
Argentina,FiberCrop,1961,5.02105
Australia_NZ,FiberCrop,1961,0.15381
Brazil,FiberCrop,1961,22.69628
Central America and Caribbean,FiberCrop,1961,2.57844
Central Asia,FiberCrop,1961,316.8
China,FiberCrop,1961,39.84958
Colombia,FiberCrop,1961,1.5
EU-12,FiberCrop,1961,122.05539
EU-15,FiberCrop,1961,6.99771
Europe_Eastern,FiberCrop,1961,118.8
Europe_Non_EU,FiberCrop,1961,7.62416
India,FiberCrop,1961,86.36
Indonesia,FiberCrop,1961,0.178
Japan,FiberCrop,1961,0.1291
Mexico,FiberCrop,1961,9.68307
Middle East,FiberCrop,1961,6.68041
Pakistan,FiberCrop,1961,13.958
Russia,FiberCrop,1961,39.6
South Africa,FiberCrop,1961,0.18
South America_Northern,FiberCrop,1961,0.55881
South America_Southern,FiberCrop,1961,3.04559
South Asia,FiberCrop,1961,9.59709
South Korea,FiberCrop,1961,0.99486
Southeast Asia,FiberCrop,1961,2.48464
USA,FiberCrop,1961,63.27
Africa_Eastern,FodderHerb,1961,0.3
Africa_Northern,FodderHerb,1961,0.12119
Australia_NZ,FodderHerb,1961,0.00405
Central Asia,FodderHerb,1961,114
EU-12,FodderHerb,1961,45.13673
EU-15,FodderHerb,1961,1.85705
Europe_Eastern,FodderHerb,1961,42.75
Europe_Non_EU,FodderHerb,1961,4.46583
Mexico,FodderHerb,1961,0
Middle East,FodderHerb,1961,0.66605
Russia,FodderHerb,1961,14.25
Africa_Eastern,MiscCrop,1961,32.457
Africa_Northern,MiscCrop,1961,19.10769
