region,GCAM_commodity,year,area
Africa_Southern,MiscCrop,1961,17.08211
Africa_Western,MiscCrop,1961,43.88102
Argentina,MiscCrop,1961,4.81483
Australia_NZ,MiscCrop,1961,2.62984
Brazil,MiscCrop,1961,80.46519
Canada,MiscCrop,1961,2.36873
Central America and Caribbean,MiscCrop,1961,20.22661
Central Asia,MiscCrop,1961,495.9248
China,MiscCrop,1961,154.49536
Colombia,MiscCrop,1961,10.71554
EU-12,MiscCrop,1961,251.61161
EU-15,MiscCrop,1961,121.66064
Europe_Eastern,MiscCrop,1961,185.9718
Europe_Non_EU,MiscCrop,1961,101.2139
European Free Trade Association,MiscCrop,1961,0.37528
India,MiscCrop,1961,242.74555
Indonesia,MiscCrop,1961,13.136
Japan,MiscCrop,1961,8.9319
Mexico,MiscCrop,1961,26.18207
Middle East,MiscCrop,1961,14.60546
Pakistan,MiscCrop,1961,19.05158
Russia,MiscCrop,1961,61.9906
South Africa,MiscCrop,1961,4.29382
South America_Northern,MiscCrop,1961,5.52184
South America_Southern,MiscCrop,1961,11.81685
South Asia,MiscCrop,1961,11.01576
South Korea,MiscCrop,1961,2.95332
Southeast Asia,MiscCrop,1961,23.69354
USA,MiscCrop,1961,35.90097
Africa_Eastern,OilCrop,1961,13.8958
Africa_Northern,OilCrop,1961,7.73686
Africa_Southern,OilCrop,1961,8.52729
Africa_Western,OilCrop,1961,56.08689
Argentina,OilCrop,1961,21.91516
Australia_NZ,OilCrop,1961,0.56675
Brazil,OilCrop,1961,10.12051
Canada,OilCrop,1961,12.80042
Central America and Caribbean,OilCrop,1961,0.97911
Central Asia,OilCrop,1961,578.104
China,OilCrop,1961,137.15881
Colombia,OilCrop,1961,0.49066
EU-12,OilCrop,1961,234.15243
EU-15,OilCrop,1961,19.21119
Europe_Eastern,OilCrop,1961,216.789
Europe_Non_EU,OilCrop,1961,15.714
European Free Trade Association,OilCrop,1961,0.0658
India,OilCrop,1961,147.5
Indonesia,OilCrop,1961,9.96
Japan,OilCrop,1961,5.7047
Mexico,OilCrop,1961,3.74165
Middle East,OilCrop,1961,2.82221
Pakistan,OilCrop,1961,5.6818
Russia,OilCrop,1961,72.263
South Africa,OilCrop,1961,5.19
South America_Northern,OilCrop,1961,0.55519
South America_Southern,OilCrop,1961,4.08129
South Asia,OilCrop,1961,5.57405
South Korea,OilCrop,1961,6.08462
Southeast Asia,OilCrop,1961,12.29314
USA,OilCrop,1961,127.35636
Africa_Eastern,OtherGrain,1961,56.36708
Africa_Northern,OtherGrain,1961,36.09295
Africa_Southern,OtherGrain,1961,17.89416
Africa_Western,OtherGrain,1961,178.76994
Argentina,OtherGrain,1961,30.572
Australia_NZ,OtherGrain,1961,24.32864
Brazil,OtherGrain,1961,0.8663
Canada,OtherGrain,1961,59.44745
Central America and Caribbean,OtherGrain,1961,4.44537
Central Asia,OtherGrain,1961,3797.52
China,OtherGrain,1961,227.24561
Colombia,OtherGrain,1961,0.5024
EU-12,OtherGrain,1961,1559.96706
EU-15,OtherGrain,1961,173.3071
Europe_Eastern,OtherGrain,1961,1423.92
Europe_Non_EU,OtherGrain,1961,86.65796
European Free Trade Association,OtherGrain,1961,2.71824
India,OtherGrain,1961,401.11016
Japan,OtherGrain,1961,8.6468
Mexico,OtherGrain,1961,4.37401
Middle East,OtherGrain,1961,44.31309
Pakistan,OtherGrain,1961,15.32
Russia,OtherGrain,1961,474.64
South Africa,OtherGrain,1961,5.61
South America_Northern,OtherGrain,1961,0
South America_Southern,OtherGrain,1961,7.27566
South Asia,OtherGrain,1961,5.90196
South Korea,OtherGrain,1961,16.9181
Southeast Asia,OtherGrain,1961,1.49355
USA,OtherGrain,1961,200.3355
Africa_Eastern,PalmFruit,1961,0.411
Africa_Southern,PalmFruit,1961,2.981
Africa_Western,PalmFruit,1961,37.0822
Brazil,PalmFruit,1961,1.45
Central America and Caribbean,PalmFruit,1961,1.05172
China,PalmFruit,1961,0
Colombia,PalmFruit,1961,0.008
EU-15,PalmFruit,1961,0.04
Europe_Non_EU,PalmFruit,1961,0
India,PalmFruit,1961,7.23
Indonesia,PalmFruit,1961,12
Mexico,PalmFruit,1961,0.99273
Pakistan,PalmFruit,1961,0
South America_Northern,PalmFruit,1961,0.22944
South America_Southern,PalmFruit,1961,0.3928
South Asia,PalmFruit,1961,4.522
Southeast Asia,PalmFruit,1961,22.19281
USA,PalmFruit,1961,0.0265
Africa_Eastern,Rice,1961,8.23197
Africa_Northern,Rice,1961,2.3309
Africa_Southern,Rice,1961,1.811
Africa_Western,Rice,1961,14.42253
Argentina,Rice,1961,0.46
Australia_NZ,Rice,1961,0.2
Brazil,Rice,1961,31.74037
Central America and Caribbean,Rice,1961,4.48196
Central Asia,Rice,1961,9.44
China,Rice,1961,270.59642
Colombia,Rice,1961,2.371
EU-12,Rice,1961,4.02646
EU-15,Rice,1961,2.78202
Europe_Eastern,Rice,1961,3.54
Europe_Non_EU,Rice,1961,0.90067
India,Rice,1961,346.94
Indonesia,Rice,1961,68.57
Japan,Rice,1961,33.12
Mexico,Rice,1961,1.46341
Middle East,Rice,1961,3.062
Pakistan,Rice,1961,12.14475
Russia,Rice,1961,1.18
South Africa,Rice,1961,0.016
South America_Northern,Rice,1961,1.9022
South America_Southern,Rice,1961,2.63674
South Asia,Rice,1961,102.95566
South Korea,Rice,1961,22.56
Southeast Asia,Rice,1961,210.22973
USA,Rice,1961,6.4345
Africa_Eastern,Root_Tuber,1961,12.55479
Africa_Northern,Root_Tuber,1961,0.76023
Africa_Southern,Root_Tuber,1961,18.07281
Africa_Western,Root_Tuber,1961,58.51049
Argentina,Root_Tuber,1961,2.58821
Australia_NZ,Root_Tuber,1961,0.48622
Brazil,Root_Tuber,1961,17.19456
Canada,Root_Tuber,1961,1.25
Central America and Caribbean,Root_Tuber,1961,2.74358
Central Asia,Root_Tuber,1961,710.257
China,Root_Tuber,1961,123.18024
Colombia,Root_Tuber,1961,1.785
EU-12,Root_Tuber,1961,314.17792
EU-15,Root_Tuber,1961,42.24917
Europe_Eastern,Root_Tuber,1961,266.34
Europe_Non_EU,Root_Tuber,1961,17.39345
European Free Trade Association,Root_Tuber,1961,1.05001
India,Root_Tuber,1961,8.12
Indonesia,Root_Tuber,1961,18.54
Japan,Root_Tuber,1961,5.97
Mexico,Root_Tuber,1961,0.62256
Middle East,Root_Tuber,1961,0.49671
Pakistan,Root_Tuber,1961,0.1565
Russia,Root_Tuber,1961,88.78
South Africa,Root_Tuber,1961,0.57682
South America_Northern,Root_Tuber,1961,0.64877
South America_Southern,Root_Tuber,1961,6.71306
South Asia,Root_Tuber,1961,2.0199
South Korea,Root_Tuber,1961,2.18786
Southeast Asia,Root_Tuber,1961,9.51351
USA,Root_Tuber,1961,6.84041
Africa_Eastern,SugarCrop,1961,1.3967
Africa_Northern,SugarCrop,1961,0.524
Africa_Southern,SugarCrop,1961,0.64348
Africa_Western,SugarCrop,1961,0.44412
Argentina,SugarCrop,1961,2.227
Australia_NZ,SugarCrop,1961,1.56521
Brazil,SugarCrop,1961,13.6664
Canada,SugarCrop,1961,0.34368
Central America and Caribbean,SugarCrop,1961,18.02637
Central Asia,SugarCrop,1961,249.6
China,SugarCrop,1961,4.991
Colombia,SugarCrop,1961,2.93775
EU-12,SugarCrop,1961,107.31991
EU-15,SugarCrop,1961,15.57552
Europe_Eastern,SugarCrop,1961,93.6
Europe_Non_EU,SugarCrop,1961,5.38509
European Free Trade Association,SugarCrop,1961,0.05052
India,SugarCrop,1961,24.13
Indonesia,SugarCrop,1961,0.8
Japan,SugarCrop,1961,0.693
Mexico,SugarCrop,1961,3.47602
Middle East,SugarCrop,1961,0.63475
Pakistan,SugarCrop,1961,3.8945
Russia,SugarCrop,1961,31.2
South Africa,SugarCrop,1961,0.96
South America_Northern,SugarCrop,1961,0.85455
South America_Southern,SugarCrop,1961,1.72512
South Asia,SugarCrop,1961,1.32545
Southeast Asia,SugarCrop,1961,4.06839
USA,SugarCrop,1961,7.548
Africa_Eastern,Wheat,1961,10.39225
Africa_Northern,Wheat,1961,48.16473
Africa_Southern,Wheat,1961,1.05822
Africa_Western,Wheat,1961,0.20115
Argentina,Wheat,1961,44.209
Australia_NZ,Wheat,1961,60.33699
Brazil,Wheat,1961,10.22234
Canada,Wheat,1961,102.45
Central America and Caribbean,Wheat,1961,0.34711
Central Asia,Wheat,1961,5042.67
China,Wheat,1961,255.67759
Colombia,Wheat,1961,1.6
EU-12,Wheat,1961,1990.34117
EU-15,Wheat,1961,171.9035
Europe_Eastern,Wheat,1961,1890
Europe_Non_EU,Wheat,1961,177.93
European Free Trade Association,Wheat,1961,1.26142
India,Wheat,1961,129.27
Japan,Wheat,1961,6.487
Mexico,Wheat,1961,8.36538
Middle East,Wheat,1961,65.32429
Pakistan,Wheat,1961,46.39
Russia,Wheat,1961,630
South Africa,Wheat,1961,14.07
South America_Northern,Wheat,1961,0.02273
South America_Southern,Wheat,1961,15.25299
South Asia,Wheat,1961,24.01557
South Korea,Wheat,1961,1.5183
Southeast Asia,Wheat,1961,0.24196
USA,Wheat,1961,208.7
Africa_Eastern,Corn,1962,22.37974
Africa_Northern,Corn,1962,12.25764
Africa_Southern,Corn,1962,42.45008
Africa_Western,Corn,1962,41.80728
Argentina,Corn,1962,27.5667
Australia_NZ,Corn,1962,0.89655
Brazil,Corn,1962,73.47881
Canada,Corn,1962,2.04776
Central America and Caribbean,Corn,1962,17.8381
Central Asia,Corn,1962,560.4
China,Corn,1962,128.18
Colombia,Corn,1962,6.969
EU-12,Corn,1962,289.46712
EU-15,Corn,1962,31.56628
Europe_Eastern,Corn,1962,210.15
Europe_Non_EU,Corn,1962,131.22383
European Free Trade Association,Corn,1962,0.02829
India,Corn,1962,46.43
Indonesia,Corn,1962,32.8
Japan,Corn,1962,0.688
Mexico,Corn,1962,63.71704
Middle East,Corn,1962,0.92032
Pakistan,Corn,1962,4.58514
Russia,Corn,1962,70.05
South Africa,Corn,1962,43.56
South America_Northern,Corn,1962,4.84829
South America_Southern,Corn,1962,12.03906
South Asia,Corn,1962,9.84768
South Korea,Corn,1962,0.51608
Southeast Asia,Corn,1962,27.97534
USA,Corn,1962,228.23077
Africa_Eastern,FiberCrop,1962,13.87552
Africa_Northern,FiberCrop,1962,7.2475
Africa_Southern,FiberCrop,1962,9.82077
Africa_Western,FiberCrop,1962,12.51775
Argentina,FiberCrop,1962,5.4113
Australia_NZ,FiberCrop,1962,0.12485
Brazil,FiberCrop,1962,24.89688
Central America and Caribbean,FiberCrop,1962,3.23257
Central Asia,FiberCrop,1962,326.72
China,FiberCrop,1962,36.15675
Colombia,FiberCrop,1962,1.69
EU-12,FiberCrop,1962,125.94857
EU-15,FiberCrop,1962,8.0773
Europe_Eastern,FiberCrop,1962,122.52
Europe_Non_EU,FiberCrop,1962,7.58563
India,FiberCrop,1962,86.92
Indonesia,FiberCrop,1962,0.208
Japan,FiberCrop,1962,0.1258
Mexico,FiberCrop,1962,9.64177
Middle East,FiberCrop,1962,7.39604
Pakistan,FiberCrop,1962,13.741
Russia,FiberCrop,1962,40.84
South Africa,FiberCrop,1962,0.23
South America_Northern,FiberCrop,1962,0.57385
South America_Southern,FiberCrop,1962,3.33632
South Asia,FiberCrop,1962,8.3478
South Korea,FiberCrop,1962,1.08868
Southeast Asia,FiberCrop,1962,2.78771
USA,FiberCrop,1962,63.00462
Africa_Eastern,FodderHerb,1962,0.3
Africa_Northern,FodderHerb,1962,0.19663
Australia_NZ,FodderHerb,1962,0.00405
Central Asia,FodderHerb,1962,134.8
EU-12,FodderHerb,1962,52.75223
EU-15,FodderHerb,1962,1.9215
Europe_Eastern,FodderHerb,1962,50.55
Europe_Non_EU,FodderHerb,1962,4.2274
Mexico,FodderHerb,1962,0
Middle East,FodderHerb,1962,0.8617
Russia,FodderHerb,1962,16.85
Africa_Eastern,MiscCrop,1962,34.80363
Africa_Northern,MiscCrop,1962,19.65286
Africa_Southern,MiscCrop,1962,19.2054
Africa_Western,MiscCrop,1962,47.27375
Argentina,MiscCrop,1962,4.86331
Australia_NZ,MiscCrop,1962,2.63148
Brazil,MiscCrop,1962,83.15976
Canada,MiscCrop,1962,2.37133
Central America and Caribbean,MiscCrop,1962,20.95167
Central Asia,MiscCrop,1962,715.6048
China,MiscCrop,1962,161.5631
Colombia,MiscCrop,1962,10.78134
EU-12,MiscCrop,1962,333.45961
EU-15,MiscCrop,1962,120.16736
Europe_Eastern,MiscCrop,1962,268.3518
Europe_Non_EU,MiscCrop,1962,101.88966
European Free Trade Association,MiscCrop,1962,0.35816
India,MiscCrop,1962,249.56441
Indonesia,MiscCrop,1962,12.9885
Japan,MiscCrop,1962,9.2722
Mexico,MiscCrop,1962,26.991
Middle East,MiscCrop,1962,15.78286
Pakistan,MiscCrop,1962,20.47008
Russia,MiscCrop,1962,89.4506
South Africa,MiscCrop,1962,5.27889
South America_Northern,MiscCrop,1962,5.27576
South America_Southern,MiscCrop,1962,11.90619
South Asia,MiscCrop,1962,11.17931
South Korea,MiscCrop,1962,3.13514
Southeast Asia,MiscCrop,1962,24.31148
USA,MiscCrop,1962,36.19968
Africa_Eastern,OilCrop,1962,13.95972
Africa_Northern,OilCrop,1962,8.96608
Africa_Southern,OilCrop,1962,9.43391
Africa_Western,OilCrop,1962,56.78459
Argentina,OilCrop,1962,26.71849
Australia_NZ,OilCrop,1962,0.65473
Brazil,OilCrop,1962,11.3767
Canada,OilCrop,1962,8.7071
Central America and Caribbean,OilCrop,1962,1.00444
Central Asia,OilCrop,1962,621.03712
China,OilCrop,1962,133.31121
Colombia,OilCrop,1962,0.58778
EU-12,OilCrop,1962,250.91588
EU-15,OilCrop,1962,20.03492
Europe_Eastern,OilCrop,1962,232.88892
Europe_Non_EU,OilCrop,1962,15.33053
European Free Trade Association,OilCrop,1962,0.0713
India,OilCrop,1962,159.05
Indonesia,OilCrop,1962,9.73
Japan,OilCrop,1962,5.2423
Mexico,OilCrop,1962,4.15754
Middle East,OilCrop,1962,2.14383
Pakistan,OilCrop,1962,5.0816
Russia,OilCrop,1962,77.62964
South Africa,OilCrop,1962,4.44
South America_Northern,OilCrop,1962,0.59224
South America_Southern,OilCrop,1962,4.34286
South Asia,OilCrop,1962,5.72085
South Korea,OilCrop,1962,6.26348
Southeast Asia,OilCrop,1962,13.57128
USA,OilCrop,1962,131.43496
Africa_Eastern,OtherGrain,1962,58.2907
Africa_Northern,OtherGrain,1962,32.90716
Africa_Southern,OtherGrain,1962,16.46747
Africa_Western,OtherGrain,1962,184.49476
Argentina,OtherGrain,1962,21.2579
Australia_NZ,OtherGrain,1962,24.29679
Brazil,OtherGrain,1962,0.81165
Canada,OtherGrain,1962,66.9342
Central America and Caribbean,OtherGrain,1962,4.49771
Central Asia,OtherGrain,1962,3737.67
China,OtherGrain,1962,251.60146
Colombia,OtherGrain,1962,0.5225
EU-12,OtherGrain,1962,1532.2322
EU-15,OtherGrain,1962,169.91284
Europe_Eastern,OtherGrain,1962,1401.42
Europe_Non_EU,OtherGrain,1962,83.46862
European Free Trade Association,OtherGrain,1962,2.84673
India,OtherGrain,1962,399.44
Japan,OtherGrain,1962,7.7603
Mexico,OtherGrain,1962,3.99389
Middle East,OtherGrain,1962,45.29737
Pakistan,OtherGrain,1962,15.236
Russia,OtherGrain,1962,467.14
South Africa,OtherGrain,1962,4.85
South America_Northern,OtherGrain,1962,0
South America_Southern,OtherGrain,1962,7.72795
South Asia,OtherGrain,1962,6.03012
South Korea,OtherGrain,1962,17.32484
Southeast Asia,OtherGrain,1962,1.63205
USA,OtherGrain,1962,196
Africa_Eastern,PalmFruit,1962,0.421
Africa_Southern,PalmFruit,1962,2.99
Africa_Western,PalmFruit,1962,34.8587
Brazil,PalmFruit,1962,1.493
Central America and Caribbean,PalmFruit,1962,1.04083
China,PalmFruit,1962,0
Colombia,PalmFruit,1962,0.011
EU-15,PalmFruit,1962,0.04
Europe_Non_EU,PalmFruit,1962,0
India,PalmFruit,1962,7.93
Indonesia,PalmFruit,1962,11.9
Mexico,PalmFruit,1962,1.0316
Pakistan,PalmFruit,1962,0
South America_Northern,PalmFruit,1962,0.24675
South America_Southern,PalmFruit,1962,0.4138
South Asia,PalmFruit,1962,4.85985
Southeast Asia,PalmFruit,1962,23.42413
USA,PalmFruit,1962,0.025
Africa_Eastern,Rice,1962,8.75632
Africa_Northern,Rice,1962,3.56
Africa_Southern,Rice,1962,1.69
Africa_Western,Rice,1962,15.53132
Argentina,Rice,1962,0.5306
Australia_NZ,Rice,1962,0.20309
Brazil,Rice,1962,33.4981
Central America and Caribbean,Rice,1962,4.69193
Central Asia,Rice,1962,9.52
China,Rice,1962,277.2259
Colombia,Rice,1962,2.9755
EU-12,Rice,1962,4.00111
EU-15,Rice,1962,2.678
Europe_Eastern,Rice,1962,3.57
Europe_Non_EU,Rice,1962,1.12308
India,Rice,1962,356.95008
Indonesia,Rice,1962,72.83
Japan,Rice,1962,32.95
Mexico,Rice,1962,1.33904
Middle East,Rice,1962,3.41218
Pakistan,Rice,1962,11.85742
Russia,Rice,1962,1.19
South Africa,Rice,1962,0.015
South America_Northern,Rice,1962,1.95218
South America_Southern,Rice,1962,2.81753
South Asia,Rice,1962,105.40094
South Korea,Rice,1962,22.78
Southeast Asia,Rice,1962,221.02439
USA,Rice,1962,7.1745
Africa_Eastern,Root_Tuber,1962,12.49859
Africa_Northern,Root_Tuber,1962,0.85604
Africa_Southern,Root_Tuber,1962,18.69384
Africa_Western,Root_Tuber,1962,60.87656
Argentina,Root_Tuber,1962,1.99884
Australia_NZ,Root_Tuber,1962,0.49697
Brazil,Root_Tuber,1962,18.27171
Canada,Root_Tuber,1962,1.17265
Central America and Caribbean,Root_Tuber,1962,2.93474
Central Asia,Root_Tuber,1962,694.925
China,Root_Tuber,1962,125.67244
Colombia,Root_Tuber,1962,2.28
EU-12,Root_Tuber,1962,309.04382
EU-15,Root_Tuber,1962,41.9699
Europe_Eastern,Root_Tuber,1962,260.58
Europe_Non_EU,Root_Tuber,1962,17.70668
European Free Trade Association,Root_Tuber,1962,1.00078
India,Root_Tuber,1962,7.68
Indonesia,Root_Tuber,1962,20.03
Japan,Root_Tuber,1962,5.896
Mexico,Root_Tuber,1962,0.62276
Middle East,Root_Tuber,1962,0.51017
Pakistan,Root_Tuber,1962,0.145
Russia,Root_Tuber,1962,86.86
South Africa,Root_Tuber,1962,0.65391
South America_Northern,Root_Tuber,1962,0.62279
South America_Southern,Root_Tuber,1962,6.64194
South Asia,Root_Tuber,1962,1.98044
South Korea,Root_Tuber,1962,2.48892
Southeast Asia,Root_Tuber,1962,9.95509
USA,Root_Tuber,1962,6.36786
Africa_Eastern,SugarCrop,1962,1.43342
Africa_Northern,SugarCrop,1962,0.56
Africa_Southern,SugarCrop,1962,0.73027
Africa_Western,SugarCrop,1962,0.48908
Argentina,SugarCrop,1962,2.074
Australia_NZ,SugarCrop,1962,1.62514
Brazil,SugarCrop,1962,14.66619
Canada,SugarCrop,1962,0.34267
Central America and Caribbean,SugarCrop,1962,16.94691
Central Asia,SugarCrop,1962,253.28
China,SugarCrop,1962,3.349
Colombia,SugarCrop,1962,2.93222
EU-12,SugarCrop,1962,108.73188
EU-15,SugarCrop,1962,16.03345
Europe_Eastern,SugarCrop,1962,94.98
Europe_Non_EU,SugarCrop,1962,5.05657
European Free Trade Association,SugarCrop,1962,0.04862
India,SugarCrop,1962,24.56
Indonesia,SugarCrop,1962,0.75
Japan,SugarCrop,1962,0.786
Mexico,SugarCrop,1962,3.61603
Middle East,SugarCrop,1962,0.64453
Pakistan,SugarCrop,1962,4.4757
Russia,SugarCrop,1962,31.66
South Africa,SugarCrop,1962,0.96
South America_Northern,SugarCrop,1962,0.81794
South America_Southern,SugarCrop,1962,1.85492
South Asia,SugarCrop,1962,1.35035
Southeast Asia,SugarCrop,1962,4.35211
USA,SugarCrop,1962,7.6616
Africa_Eastern,Wheat,1962,10.38413
Africa_Northern,Wheat,1962,49.04526
Africa_Southern,Wheat,1962,1.15579
Africa_Western,Wheat,1962,0.19988
Argentina,Wheat,1962,37.447
Australia_NZ,Wheat,1962,67.40066
Brazil,Wheat,1962,7.43459
Canada,Wheat,1962,108.53
Central America and Caribbean,Wheat,1962,0.40053
Central Asia,Wheat,1962,5396.08064
China,Wheat,1962,240.71371
Colombia,Wheat,1962,1.5
EU-12,Wheat,1962,2125.68742
EU-15,Wheat,1962,185.29909
Europe_Eastern,Wheat,1962,2022.33024
Europe_Non_EU,Wheat,1962,187.40144
European Free Trade Association,Wheat,1962,1.18364
India,Wheat,1962,135.7
Japan,Wheat,1962,6.42
Mexico,Wheat,1962,7.47728
Middle East,Wheat,1962,68.71338
Pakistan,Wheat,1962,49.23
Russia,Wheat,1962,674.11008
South Africa,Wheat,1962,13.75
South America_Northern,Wheat,1962,0.01183
South America_Southern,Wheat,1962,14.98305
South Asia,Wheat,1962,25.1668
South Korea,Wheat,1962,1.63242
Southeast Asia,Wheat,1962,0.35957
USA,Wheat,1962,176.8
Africa_Eastern,Corn,1963,22.98453
Africa_Northern,Corn,1963,11.88055
Africa_Southern,Corn,1963,43.743
Africa_Western,Corn,1963,40.99628
Argentina,Corn,1963,26.454
Australia_NZ,Corn,1963,0.89522
Brazil,Corn,1963,79.57633
Canada,Corn,1963,2.46586
Central America and Caribbean,Corn,1963,17.94771
Central Asia,Corn,1963,559.6
China,Corn,1963,153.7921
Colombia,Corn,1963,6.8876
EU-12,Corn,1963,291.36039
EU-15,Corn,1963,33.00397
Europe_Eastern,Corn,1963,209.85
Europe_Non_EU,Corn,1963,128.86138
European Free Trade Association,Corn,1963,0.02614
India,Corn,1963,45.82
Indonesia,Corn,1963,26.69
Japan,Corn,1963,0.641
Mexico,Corn,1963,69.63077
Middle East,Corn,1963,0.91401
Pakistan,Corn,1963,5.00197
Russia,Corn,1963,69.95
South Africa,Corn,1963,43.54
South America_Northern,Corn,1963,4.28107
South America_Southern,Corn,1963,12.13619
South Asia,Corn,1963,9.90584
South Korea,Corn,1963,0.62956
Southeast Asia,Corn,1963,28.12239
USA,Corn,1963,242.19669
Africa_Eastern,FiberCrop,1963,14.45482
Africa_Northern,FiberCrop,1963,7.15469
Africa_Southern,FiberCrop,1963,9.71225
Africa_Western,FiberCrop,1963,12.21888
Argentina,FiberCrop,1963,5.2123
Australia_NZ,FiberCrop,1963,0.15572
Brazil,FiberCrop,1963,25.17094
Central America and Caribbean,FiberCrop,1963,3.69537
Central Asia,FiberCrop,1963,315.6
China,FiberCrop,1963,45.35308
Colombia,FiberCrop,1963,1.411
EU-12,FiberCrop,1963,121.71222
EU-15,FiberCrop,1963,6.80561
Europe_Eastern,FiberCrop,1963,118.35
Europe_Non_EU,FiberCrop,1963,7.33341
India,FiberCrop,1963,90.29
Indonesia,FiberCrop,1963,0.176
Japan,FiberCrop,1963,0.0961
Mexico,FiberCrop,1963,10.30384
Middle East,FiberCrop,1963,7.31365
Pakistan,FiberCrop,1963,14.706
Russia,FiberCrop,1963,39.45
South Africa,FiberCrop,1963,0.35
South America_Northern,FiberCrop,1963,0.52006
South America_Southern,FiberCrop,1963,3.50232
South Asia,FiberCrop,1963,8.58777
South Korea,FiberCrop,1963,0.54578
Southeast Asia,FiberCrop,1963,3.31826
USA,FiberCrop,1963,57.51
Africa_Eastern,FodderHerb,1963,0.31
Africa_Northern,FodderHerb,1963,0.2155
Australia_NZ,FodderHerb,1963,0.00405
Central Asia,FodderHerb,1963,120
EU-12,FodderHerb,1963,47.12708
EU-15,FodderHerb,1963,1.86045
Europe_Eastern,FodderHerb,1963,45
Europe_Non_EU,FodderHerb,1963,4.08238
Mexico,FodderHerb,1963,0
Middle East,FodderHerb,1963,0.7806
Russia,FodderHerb,1963,15
Africa_Eastern,MiscCrop,1963,35.50064
Africa_Northern,MiscCrop,1963,20.04426
Africa_Southern,MiscCrop,1963,20.54012
Africa_Western,MiscCrop,1963,60.06339
Argentina,MiscCrop,1963,4.9508
Australia_NZ,MiscCrop,1963,2.72051
Brazil,MiscCrop,1963,84.86096
Canada,MiscCrop,1963,2.46694
Central America and Caribbean,MiscCrop,1963,21.15502
Central Asia,MiscCrop,1963,1023.696
China,MiscCrop,1963,135.38577
Colombia,MiscCrop,1963,10.70798
EU-12,MiscCrop,1963,455.18498
EU-15,MiscCrop,1963,120.66677
Europe_Eastern,MiscCrop,1963,383.886
Europe_Non_EU,MiscCrop,1963,104.48036
European Free Trade Association,MiscCrop,1963,0.3386
India,MiscCrop,1963,251.32976
Indonesia,MiscCrop,1963,15.0835
Japan,MiscCrop,1963,9.3917
Mexico,MiscCrop,1963,27.34526
Middle East,MiscCrop,1963,15.91575
Pakistan,MiscCrop,1963,21.49393
Russia,MiscCrop,1963,127.962
South Africa,MiscCrop,1963,5.75993
South America_Northern,MiscCrop,1963,5.49454
South America_Southern,MiscCrop,1963,12.16916
