region,year,Land_Type,area
Africa_Eastern,1971,Cropland,395.289769
Africa_Eastern,1971,Forest,170.630024
Africa_Eastern,1971,Grassland,1199.14305
Africa_Eastern,1971,Pasture,2482.692132
Africa_Eastern,1971,RockIceDesert,965.231374
Africa_Eastern,1971,Shrubland,604.640257
Africa_Eastern,1971,UrbanLand,1.588415
Africa_Eastern,1972,Cropland,398.576068
Africa_Eastern,1972,Forest,169.928658
Africa_Eastern,1972,Grassland,1196.96075
Africa_Eastern,1972,Pasture,2482.520844
Africa_Eastern,1972,RockIceDesert,965.194448
Africa_Eastern,1972,Shrubland,604.385934
Africa_Eastern,1972,UrbanLand,1.65124
Africa_Eastern,1973,Cropland,401.862367
Africa_Eastern,1973,Forest,169.227292
Africa_Eastern,1973,Grassland,1194.77845
Africa_Eastern,1973,Pasture,2482.349556
Africa_Eastern,1973,RockIceDesert,965.157522
Africa_Eastern,1973,Shrubland,604.131611
Africa_Eastern,1973,UrbanLand,1.714065
Africa_Eastern,1974,Cropland,405.148666
Africa_Eastern,1974,Forest,168.525926
Africa_Eastern,1974,Grassland,1192.59615
Africa_Eastern,1974,Pasture,2482.178268
Africa_Eastern,1974,RockIceDesert,965.120596
Africa_Eastern,1974,Shrubland,603.877288
Africa_Eastern,1974,UrbanLand,1.77689
Africa_Eastern,1975,Cropland,408.434965
Africa_Eastern,1975,Forest,167.82456
Africa_Eastern,1975,Grassland,1190.41385
Africa_Eastern,1975,Pasture,2482.00698
Africa_Eastern,1975,RockIceDesert,965.08367
Africa_Eastern,1975,Shrubland,603.622965
Africa_Eastern,1975,UrbanLand,1.839715
Africa_Eastern,1976,Cropland,411.721264
Africa_Eastern,1976,Forest,167.123194
Africa_Eastern,1976,Grassland,1188.23155
Africa_Eastern,1976,Pasture,2481.835692
Africa_Eastern,1976,RockIceDesert,965.046744
Africa_Eastern,1976,Shrubland,603.368642
Africa_Eastern,1976,UrbanLand,1.90254
Africa_Eastern,1977,Cropland,415.007563
Africa_Eastern,1977,Forest,166.421828
Africa_Eastern,1977,Grassland,1186.04925
Africa_Eastern,1977,Pasture,2481.664404
Africa_Eastern,1977,RockIceDesert,965.009818
Africa_Eastern,1977,Shrubland,603.114319
Africa_Eastern,1977,UrbanLand,1.965365
Africa_Eastern,1978,Cropland,418.293862
Africa_Eastern,1978,Forest,165.720462
Africa_Eastern,1978,Grassland,1183.86695
Africa_Eastern,1978,Pasture,2481.493116
Africa_Eastern,1978,RockIceDesert,964.972892
Africa_Eastern,1978,Shrubland,602.859996
Africa_Eastern,1978,UrbanLand,2.02819
Africa_Eastern,1979,Cropland,421.580161
Africa_Eastern,1979,Forest,165.019096
Africa_Eastern,1979,Grassland,1181.68465
Africa_Eastern,1979,Pasture,2481.321828
Africa_Eastern,1979,RockIceDesert,964.935966
Africa_Eastern,1979,Shrubland,602.605673
Africa_Eastern,1979,UrbanLand,2.091015
Africa_Eastern,1980,Cropland,424.86646
Africa_Eastern,1980,Forest,164.31773
Africa_Eastern,1980,Grassland,1179.50235
Africa_Eastern,1980,Pasture,2481.15054
Africa_Eastern,1980,RockIceDesert,964.89904
Africa_Eastern,1980,Shrubland,602.35135
Africa_Eastern,1980,UrbanLand,2.15384
Africa_Eastern,1981,Cropland,425.920463
Africa_Eastern,1981,Forest,163.907794
Africa_Eastern,1981,Grassland,1170.425042
Africa_Eastern,1981,Pasture,2492.815788
Africa_Eastern,1981,RockIceDesert,962.175241
Africa_Eastern,1981,Shrubland,601.73971
Africa_Eastern,1981,UrbanLand,2.256952
Africa_Eastern,1982,Cropland,426.974466
Africa_Eastern,1982,Forest,163.497858
Africa_Eastern,1982,Grassland,1161.347734
Africa_Eastern,1982,Pasture,2504.481036
Africa_Eastern,1982,RockIceDesert,959.451442
Africa_Eastern,1982,Shrubland,601.12807
Africa_Eastern,1982,UrbanLand,2.360064
Africa_Eastern,1983,Cropland,428.028469
Africa_Eastern,1983,Forest,163.087922
